Gemeindename,Gemeindeschlüssel,Stand in der KWP
Heidenrod,6439005.0,Stand unbekannt
Hohenstein (Untertaunus),6439006.0,Stand unbekannt
Kiedrich,6439009.0,Stand unbekannt
Lorch (Rheingau),6439010.0,Stand unbekannt
Niedernhausen,6439011.0,Stand unbekannt
Rüdesheim am Rhein,6439013.0,Stand unbekannt
Schlangenbad,6439014.0,Stand unbekannt
Waldems,6439016.0,Stand unbekannt
Walluf,6439017.0,Stand unbekannt
Altenstadt (Hessen),6440001.0,Stand unbekannt
Glauburg,6440010.0,Stand unbekannt
Hirzenhain,6440011.0,Stand unbekannt
Kefenrod,6440013.0,Stand unbekannt
Limeshain,6440014.0,Stand unbekannt
Münzenberg,6440015.0,Stand unbekannt
Nidda,6440016.0,Stand unbekannt
Ober-Mörlen,6440018.0,Stand unbekannt
Ortenberg (Hessen),6440019.0,Stand unbekannt
Ranstadt,6440020.0,Stand unbekannt
Rockenberg,6440022.0,Stand unbekannt
Wölfersheim,6440024.0,Stand unbekannt
Wöllstadt,6440025.0,Stand unbekannt
Allendorf (Lumda),6531001.0,Stand unbekannt
Biebertal,6531002.0,Stand unbekannt
Buseck,6531003.0,Stand unbekannt
Fernwald,6531004.0,Stand unbekannt
Grünberg,6531006.0,Stand unbekannt
Heuchelheim a.d.Lahn,6531007.0,Stand unbekannt
Hungen,6531008.0,Stand unbekannt
Langgöns,6531009.0,Stand unbekannt
Linden (Hessen),6531012.0,Stand unbekannt
Reiskirchen,6531016.0,Stand unbekannt
Bischoffen,6532002.0,Stand unbekannt
Braunfels,6532003.0,Stand unbekannt
Breitscheid (Hessen),6532004.0,Stand unbekannt
Dietzhölztal,6532005.0,Stand unbekannt
Driedorf,6532007.0,Stand unbekannt
Ehringshausen,6532008.0,Stand unbekannt
Eschenburg,6532009.0,Stand unbekannt
Greifenstein,6532010.0,Stand unbekannt
Herborn,6532012.0,Stand unbekannt
Hohenahr,6532013.0,Stand unbekannt
Hüttenberg,6532014.0,Stand unbekannt
Lahnau,6532015.0,Stand unbekannt
Leun,6532016.0,Stand unbekannt
Mittenaar,6532017.0,Stand unbekannt
Schöffengrund,6532018.0,Stand unbekannt
Siegbach,6532019.0,Stand unbekannt
Sinn,6532020.0,Stand unbekannt
Solms,6532021.0,Stand unbekannt
Waldsolms,6532022.0,Stand unbekannt
Beselich,6533001.0,Stand unbekannt
Dornburg,6533004.0,Stand unbekannt
Elbtal,6533005.0,Stand unbekannt
Merenberg,6533012.0,Stand unbekannt
Runkel,6533013.0,Stand unbekannt
Selters (Taunus),6533014.0,Stand unbekannt
Villmar,6533015.0,Stand unbekannt
Weilmünster,6533018.0,Stand unbekannt
Weinbach,6533019.0,Stand unbekannt
Angelburg,6534002.0,Stand unbekannt
Bad Endbach,6534003.0,Stand unbekannt
Breidenbach,6534005.0,Stand unbekannt
Ebsdorfergrund,6534008.0,Stand unbekannt
Fronhausen,6534009.0,Stand unbekannt
Gladenbach,6534010.0,Stand unbekannt
Lahntal,6534012.0,Stand unbekannt
Lohra,6534013.0,Stand unbekannt
Münchhausen,6534015.0,Stand unbekannt
Steffenberg,6534019.0,Stand unbekannt
Weimar (Lahn),6534020.0,Stand unbekannt
Wetter (Hessen),6534021.0,Stand unbekannt
Antrifttal,6535002.0,Stand unbekannt
Feldatal,6535003.0,Stand unbekannt
Freiensteinau,6535004.0,Stand unbekannt
Gemünden (Felda),6535005.0,Stand unbekannt
Grebenau,6535006.0,Stand unbekannt
Grebenhain,6535007.0,Stand unbekannt
Kirtorf,6535010.0,Stand unbekannt
Lauterbach (Hessen),6535011.0,Stand unbekannt
Lautertal (Vogelsberg),6535012.0,Stand unbekannt
Mücke,6535013.0,Stand unbekannt
Romrod,6535014.0,Stand unbekannt
Schlitz,6535015.0,Stand unbekannt
Schwalmtal (Hessen),6535017.0,Stand unbekannt
Ulrichstein,6535018.0,Stand unbekannt
Wartenberg (Hessen),6535019.0,Stand unbekannt
Bad Salzschlirf,6631001.0,Stand unbekannt
Burghaun,6631002.0,Stand unbekannt
Dipperz,6631003.0,Stand unbekannt
Ebersburg,6631004.0,Stand unbekannt
Ehrenberg (Rhön),6631005.0,Stand unbekannt
Eiterfeld,6631007.0,Stand unbekannt
Flieden,6631008.0,Stand unbekannt
Gersfeld (Rhön),6631010.0,Stand unbekannt
Großenlüder,6631011.0,Stand unbekannt
Hilders,6631012.0,Stand unbekannt
Hofbieber,6631013.0,Stand unbekannt
Hosenfeld,6631014.0,Stand unbekannt
Kalbach,6631016.0,Stand unbekannt
Künzell,6631017.0,Stand unbekannt
Neuhof,6631018.0,Stand unbekannt
Nüsttal,6631019.0,Stand unbekannt
Poppenhausen (Wasserkuppe),6631021.0,Stand unbekannt
Rasdorf,6631022.0,Stand unbekannt
Tann (Rhön),6631023.0,Stand unbekannt
Alheim,6632001.0,Stand unbekannt
Breitenbach a.Herzberg,6632004.0,Stand unbekannt
Cornberg,6632005.0,Stand unbekannt
Friedewald (Hessen),6632006.0,Stand unbekannt
Hauneck,6632007.0,Stand unbekannt
Haunetal,6632008.0,Stand unbekannt
Heringen (Werra),6632009.0,Stand unbekannt
Hohenroda,6632010.0,Stand unbekannt
Kirchheim (Hessen),6632011.0,Stand unbekannt
Ludwigsau,6632012.0,Stand unbekannt
Nentershausen (Hessen),6632013.0,Stand unbekannt
Neuenstein (Hessen),6632014.0,Stand unbekannt
Niederaula,6632015.0,Stand unbekannt
Philippsthal (Werra),6632016.0,Stand unbekannt
Ronshausen,6632017.0,Stand unbekannt
Rotenburg a.d.Fulda,6632018.0,Stand unbekannt
Schenklengsfeld,6632019.0,Stand unbekannt
Wildeck,6632020.0,Stand unbekannt
Ahnatal,6633001.0,Stand unbekannt
Bad Karlshafen,6633002.0,Stand unbekannt
Breuna,6633004.0,Stand unbekannt
Calden,6633005.0,Stand unbekannt
Bad Emstal,6633006.0,Stand unbekannt
Helsa,6633012.0,Stand unbekannt
Liebenau (Hessen),6633016.0,Stand unbekannt
Naumburg,6633018.0,Stand unbekannt
Nieste,6633019.0,Stand unbekannt
Reinhardshagen,6633022.0,Stand unbekannt
Trendelburg,6633025.0,Stand unbekannt
Zierenberg,6633029.0,Stand unbekannt
Borken (Hessen),6634001.0,Stand unbekannt
Edermünde,6634002.0,Stand unbekannt
Felsberg,6634003.0,Stand unbekannt
Frielendorf,6634004.0,Stand unbekannt
Fritzlar,6634005.0,Stand unbekannt
Guxhagen,6634008.0,Stand unbekannt
Homberg (Efze),6634009.0,Stand unbekannt
Jesberg,6634010.0,Stand unbekannt
Knüllwald,6634011.0,Stand unbekannt
Malsfeld,6634013.0,Stand unbekannt
Neuental,6634016.0,Stand unbekannt
Neukirchen (Knüll),6634017.0,Stand unbekannt
Oberaula,6634019.0,Stand unbekannt
Ottrau,6634020.0,Stand unbekannt
Schwalmstadt,6634022.0,Stand unbekannt
Schwarzenborn (Knüll),6634023.0,Stand unbekannt
Spangenberg,6634024.0,Stand unbekannt
Wabern,6634025.0,Stand unbekannt
Willingshausen,6634026.0,Stand unbekannt
Bad Zwesten,6634027.0,Stand unbekannt
Bad Wildungen,6635003.0,Stand unbekannt
Berkatal,6636002.0,Stand unbekannt
Herleshausen,6636005.0,Stand unbekannt
Neu-Eichenberg,6636009.0,Stand unbekannt
Ringgau,6636010.0,Stand unbekannt
Sontra,6636011.0,Stand unbekannt
Waldkappel,6636012.0,Stand unbekannt
Wanfried,6636013.0,Stand unbekannt
Wehretal,6636014.0,Stand unbekannt
Weißenborn,6636015.0,Stand unbekannt
Gönnersdorf (bei Bad Breisig),7131025.0,Stand unbekannt
Grafschaft,7131090.0,Stand unbekannt
Altenbamberg,7133003.0,Stand unbekannt
Biebelsheim,7133012.0,Stand unbekannt
Daxweiler,7133023.0,Stand unbekannt
Dörrebach,7133025.0,Stand unbekannt
Eckenroth,7133028.0,Stand unbekannt
Feilbingert,7133030.0,Stand unbekannt
Frei-Laubersheim,7133031.0,Stand unbekannt
Fürfeld,7133032.0,Stand unbekannt
Hackenheim,7133037.0,Stand unbekannt
Hallgarten,7133039.0,Stand unbekannt
Hochstätten,7133045.0,Stand unbekannt
Neu-Bamberg,7133069.0,Stand unbekannt
Pfaffen-Schwabenheim,7133078.0,Stand unbekannt
Pleitersheim,7133080.0,Stand unbekannt
Roth (bei Stromberg),7133085.0,Stand unbekannt
Schöneberg (Hunsrück),7133091.0,Stand unbekannt
Schweppenhausen,7133093.0,Stand unbekannt
Seibersbach,7133095.0,Stand unbekannt
Stromberg,7133103.0,Stand unbekannt
Tiefenthal (Rheinhessen),7133104.0,Stand unbekannt
Volxheim,7133106.0,Stand unbekannt
Waldlaubersheim,7133108.0,Stand unbekannt
Warmsroth,7133110.0,Stand unbekannt
Allenbach,7134003.0,Stand unbekannt
Asbach (Hunsrück),7134004.0,Stand unbekannt
Baumholder,7134005.0,Stand unbekannt
Bergen (bei Kirn),7134006.0,Stand unbekannt
Berglangenbach,7134007.0,Stand unbekannt
Berschweiler bei Baumholder,7134008.0,Stand unbekannt
Berschweiler bei Kirn,7134009.0,Stand unbekannt
Bollenbach,7134012.0,Stand unbekannt
Breitenthal (Hunsrück),7134013.0,Stand unbekannt
Bruchweiler,7134014.0,Stand unbekannt
Bundenbach,7134017.0,Stand unbekannt
Dickesbach,7134019.0,Stand unbekannt
Eckersweiler,7134021.0,Stand unbekannt
Fischbach (bei Idar-Oberstein),7134025.0,Stand unbekannt
Fohren-Linden,7134026.0,Stand unbekannt
Frauenberg,7134027.0,Stand unbekannt
Gerach (bei Idar-Oberstein),7134028.0,Stand unbekannt
Gösenroth,7134030.0,Stand unbekannt
Griebelschied,7134032.0,Stand unbekannt
Hahnweiler,7134033.0,Stand unbekannt
Hausen (Hunsrück),7134035.0,Stand unbekannt
Heimbach (Kreis Birkenfeld),7134036.0,Stand unbekannt
Hellertshausen,7134037.0,Stand unbekannt
Herborn (bei Idar-Oberstein),7134038.0,Stand unbekannt
Herrstein,7134039.0,Stand unbekannt
Hettenrodt,7134040.0,Stand unbekannt
Hintertiefenbach,7134041.0,Stand unbekannt
Horbruch,7134043.0,Stand unbekannt
Hottenbach,7134044.0,Stand unbekannt
Kempfeld,7134046.0,Stand unbekannt
Kirschweiler,7134047.0,Stand unbekannt
Krummenau,7134049.0,Stand unbekannt
Leitzweiler,7134051.0,Stand unbekannt
Mackenrodt,7134052.0,Stand unbekannt
Mettweiler,7134054.0,Stand unbekannt
Mittelreidenbach,7134055.0,Stand unbekannt
Mörschied,7134056.0,Stand unbekannt
Niederhosenbach,7134059.0,Stand unbekannt
Niederwörresbach,7134060.0,Stand unbekannt
Oberhosenbach,7134064.0,Stand unbekannt
Oberkirn,7134065.0,Stand unbekannt
Oberreidenbach,7134066.0,Stand unbekannt
Oberwörresbach,7134067.0,Stand unbekannt
Reichenbach (bei Baumholder),7134068.0,Stand unbekannt
Rhaunen,7134069.0,Stand unbekannt
Rohrbach (bei Baumholder),7134073.0,Stand unbekannt
Rückweiler,7134074.0,Stand unbekannt
Ruschberg,7134075.0,Stand unbekannt
Schauren (bei Idar-Oberstein),7134076.0,Stand unbekannt
Schmidthachenbach,7134077.0,Stand unbekannt
Schwerbach,7134079.0,Stand unbekannt
Sensweiler,7134081.0,Stand unbekannt
Sien,7134082.0,Stand unbekannt
Sienhachenbach,7134083.0,Stand unbekannt
Sonnschied,7134086.0,Stand unbekannt
Stipshausen,7134087.0,Stand unbekannt
Sulzbach (Hunsrück),7134088.0,Stand unbekannt
Veitsrodt,7134089.0,Stand unbekannt
Vollmersbach,7134090.0,Stand unbekannt
Weiden,7134091.0,Stand unbekannt
Weitersbach,7134092.0,Stand unbekannt
Wickenrodt,7134093.0,Stand unbekannt
Wirschweiler,7134095.0,Stand unbekannt
Langweiler (bei Idar-Oberstein),7134502.0,Stand unbekannt
Alf,7135001.0,Stand unbekannt
Alflen,7135002.0,Stand unbekannt
Altlay,7135003.0,Stand unbekannt
Altstrimmig,7135004.0,Stand unbekannt
Auderath,7135005.0,Stand unbekannt
Beilstein (Mosel),7135007.0,Stand unbekannt
Beuren (Eifel),7135008.0,Stand unbekannt
Binningen,7135009.0,Stand unbekannt
Blankenrath,7135010.0,Stand unbekannt
Brachtendorf,7135011.0,Stand unbekannt
Bremm,7135012.0,Stand unbekannt
Briedel,7135013.0,Stand unbekannt
Brieden,7135014.0,Stand unbekannt
Briedern,7135015.0,Stand unbekannt
Brohl,7135016.0,Stand unbekannt
Bruttig-Fankel,7135017.0,Stand unbekannt
Büchel,7135018.0,Stand unbekannt
Bullay,7135019.0,Stand unbekannt
Cochem,7135020.0,Stand unbekannt
Dohr,7135021.0,Stand unbekannt
Dünfus,7135022.0,Stand unbekannt
Düngenheim,7135023.0,Stand unbekannt
Ediger-Eller,7135024.0,Stand unbekannt
Ellenz-Poltersdorf,7135025.0,Stand unbekannt
Eppenberg,7135026.0,Stand unbekannt
Ernst,7135027.0,Stand unbekannt
Eulgem,7135028.0,Stand unbekannt
Faid,7135029.0,Stand unbekannt
Filz,7135030.0,Stand unbekannt
Forst (Eifel),7135031.0,Stand unbekannt
Forst (Hunsrück),7135032.0,Stand unbekannt
Gamlen,7135033.0,Stand unbekannt
Gevenich,7135034.0,Stand unbekannt
Gillenbeuren,7135035.0,Stand unbekannt
Greimersburg,7135036.0,Stand unbekannt
Grenderich,7135037.0,Stand unbekannt
Hambuch,7135038.0,Stand unbekannt
Haserich,7135039.0,Stand unbekannt
Hauroth,7135040.0,Stand unbekannt
Hesweiler,7135041.0,Stand unbekannt
Illerich,7135042.0,Stand unbekannt
Kaifenheim,7135043.0,Stand unbekannt
Kail,7135044.0,Stand unbekannt
Kaisersesch,7135045.0,Stand unbekannt
Kalenborn (bei Kaiseresch),7135046.0,Stand unbekannt
Kliding,7135048.0,Stand unbekannt
Klotten,7135049.0,Stand unbekannt
Landkern,7135051.0,Stand unbekannt
Laubach (Eifel),7135052.0,Stand unbekannt
Lieg,7135053.0,Stand unbekannt
Liesenich,7135054.0,Stand unbekannt
Lütz,7135056.0,Stand unbekannt
Lutzerath,7135057.0,Stand unbekannt
Masburg,7135058.0,Stand unbekannt
Mesenich,7135060.0,Stand unbekannt
Mittelstrimmig,7135061.0,Stand unbekannt
Möntenich,7135062.0,Stand unbekannt
Moritzheim,7135064.0,Stand unbekannt
Moselkern,7135065.0,Stand unbekannt
Müden (Mosel),7135066.0,Stand unbekannt
Müllenbach (bei Mayen),7135067.0,Stand unbekannt
Neef,7135068.0,Stand unbekannt
Nehren (Mosel),7135069.0,Stand unbekannt
Panzweiler,7135070.0,Stand unbekannt
Peterswald-Löffelscheid,7135071.0,Stand unbekannt
Pommern,7135072.0,Stand unbekannt
Pünderich,7135073.0,Stand unbekannt
Reidenhausen,7135074.0,Stand unbekannt
Roes,7135075.0,Stand unbekannt
Sankt Aldegund,7135076.0,Stand unbekannt
Schauren (bei Blankenrath),7135077.0,Stand unbekannt
Schmitt,7135078.0,Stand unbekannt
Senheim,7135079.0,Stand unbekannt
Sosberg,7135080.0,Stand unbekannt
Tellig,7135081.0,Stand unbekannt
Treis-Karden,7135082.0,Stand unbekannt
Ulmen,7135083.0,Stand unbekannt
Urmersbach,7135084.0,Stand unbekannt
Urschmitt,7135085.0,Stand unbekannt
Valwig,7135086.0,Stand unbekannt
Wagenhausen,7135087.0,Stand unbekannt
Walhausen,7135088.0,Stand unbekannt
Weiler (bei Ulmen),7135089.0,Stand unbekannt
Wirfus,7135090.0,Stand unbekannt
Wollmerath,7135091.0,Stand unbekannt
Zell (Mosel),7135092.0,Stand unbekannt
Zettingen,7135093.0,Stand unbekannt
Bad Bertrich,7135501.0,Stand unbekannt
Leienkaul,7135502.0,Stand unbekannt
Acht,7137001.0,Stand unbekannt
Anschau,7137004.0,Stand unbekannt
Arft,7137006.0,Stand unbekannt
Baar,7137007.0,Stand unbekannt
Bell,7137008.0,Stand unbekannt
Bermel,7137011.0,Stand unbekannt
Boos (Eifel),7137014.0,Stand unbekannt
Ditscheid,7137019.0,Stand unbekannt
Ettringen (Pfalz),7137025.0,Stand unbekannt
Hausten,7137034.0,Stand unbekannt
Herresbach,7137035.0,Stand unbekannt
Hirten,7137036.0,Stand unbekannt
Kehrig,7137043.0,Stand unbekannt
Kirchwald,7137049.0,Stand unbekannt
Kottenheim,7137055.0,Stand unbekannt
Kretz,7137056.0,Stand unbekannt
Kruft,7137057.0,Stand unbekannt
Langenfeld (Eifel),7137060.0,Stand unbekannt
Langscheid,7137061.0,Stand unbekannt
Lind (bei Mayen),7137063.0,Stand unbekannt
Luxem,7137066.0,Stand unbekannt
Mendig,7137069.0,Stand unbekannt
Monreal,7137074.0,Stand unbekannt
Münk,7137077.0,Stand unbekannt
Nachtsheim,7137079.0,Stand unbekannt
Nickenich,7137081.0,Stand unbekannt
Plaidt,7137088.0,Stand unbekannt
Reudelsterz,7137092.0,Stand unbekannt
Rieden (Eifel),7137093.0,Stand unbekannt
Saffig,7137096.0,Stand unbekannt
Sankt Johann (bei Mayen),7137097.0,Stand unbekannt
Siebenbach,7137099.0,Stand unbekannt
Thür,7137101.0,Stand unbekannt
Virneburg,7137105.0,Stand unbekannt
Volkesfeld,7137106.0,Stand unbekannt
Weiler (bei Mayen),7137110.0,Stand unbekannt
Welschenbach,7137113.0,Stand unbekannt
Bassenheim,7137202.0,Stand unbekannt
Kaltenengers,7137209.0,Stand unbekannt
Kettig,7137211.0,Stand unbekannt
Mülheim-Kärlich,7137216.0,Stand unbekannt
Niederwerth,7137218.0,Stand unbekannt
Sankt Sebastian,7137222.0,Stand unbekannt
Urbar (bei Koblenz),7137224.0,Stand unbekannt
Urmitz,7137225.0,Stand unbekannt
Vallendar,7137226.0,Stand unbekannt
Weißenthurm,7137228.0,Stand unbekannt
Weitersburg,7137229.0,Stand unbekannt
Dreikirchen,7143011.0,Stand unbekannt
Hundsangen,7143037.0,Stand unbekannt
Obererbach,7143058.0,Stand unbekannt
Steinefrenz,7143074.0,Stand unbekannt
Weroth,7143080.0,Stand unbekannt
Ailertchen,7143200.0,Stand unbekannt
Alpenrod,7143202.0,Stand unbekannt
Arnshöfen,7143203.0,Stand unbekannt
Astert,7143204.0,Stand unbekannt
Atzelgift,7143205.0,Stand unbekannt
Bellingen,7143207.0,Stand unbekannt
Berod bei Wallmerod,7143208.0,Stand unbekannt
Berzhahn,7143209.0,Stand unbekannt
Bilkheim,7143210.0,Stand unbekannt
Borod,7143212.0,Stand unbekannt
Brandscheid (Westerwaldkreis),7143213.0,Stand unbekannt
Dreifelden,7143215.0,Stand unbekannt
Enspel,7143219.0,Stand unbekannt
Ettinghausen,7143220.0,Stand unbekannt
Gehlert,7143223.0,Stand unbekannt
Gemünden (Westerwald),7143224.0,Stand unbekannt
Giesenhausen,7143225.0,Stand unbekannt
Girkenroth,7143226.0,Stand unbekannt
Guckheim,7143228.0,Stand unbekannt
Hachenburg,7143229.0,Stand unbekannt
Härtlingen,7143230.0,Stand unbekannt
Hahn am See,7143232.0,Stand unbekannt
Halbs,7143233.0,Stand unbekannt
Hattert,7143235.0,Stand unbekannt
Heimborn,7143236.0,Stand unbekannt
Hergenroth,7143238.0,Stand unbekannt
Herschbach (Oberwesterwald),7143239.0,Stand unbekannt
Heuzert,7143240.0,Stand unbekannt
Höchstenbach,7143241.0,Stand unbekannt
Höhn,7143242.0,Stand unbekannt
Kaden,7143247.0,Stand unbekannt
Kölbingen,7143249.0,Stand unbekannt
Kroppach,7143250.0,Stand unbekannt
Kuhnhöfen,7143251.0,Stand unbekannt
Kundert,7143252.0,Stand unbekannt
Langenhahn,7143254.0,Stand unbekannt
Limbach (Westerwald),7143257.0,Stand unbekannt
Linden (Westerwald),7143258.0,Stand unbekannt
Lochum,7143259.0,Stand unbekannt
Luckenbach,7143260.0,Stand unbekannt
Marzhausen,7143261.0,Stand unbekannt
Merkelbach,7143262.0,Stand unbekannt
Meudt,7143263.0,Stand unbekannt
Mörsbach,7143265.0,Stand unbekannt
Molsberg,7143266.0,Stand unbekannt
Mudenbach,7143267.0,Stand unbekannt
Mündersbach,7143268.0,Stand unbekannt
Müschenbach,7143269.0,Stand unbekannt
Niederahr,7143273.0,Stand unbekannt
Nister,7143276.0,Stand unbekannt
Oberahr,7143281.0,Stand unbekannt
Pottum,7143284.0,Stand unbekannt
Roßbach (Westerwald),7143287.0,Stand unbekannt
Rotenhain,7143288.0,Stand unbekannt
Rothenbach,7143289.0,Stand unbekannt
Salz (Westerwald),7143290.0,Stand unbekannt
Stahlhofen am Wiesensee,7143293.0,Stand unbekannt
Steinebach an der Wied,7143294.0,Stand unbekannt
Stein-Wingert,7143296.0,Stand unbekannt
Stockum-Püschen,7143298.0,Stand unbekannt
Streithausen,7143299.0,Stand unbekannt
Wahlrod,7143301.0,Stand unbekannt
Welkenbach,7143306.0,Stand unbekannt
Weltersburg,7143307.0,Stand unbekannt
Westerburg,7143308.0,Stand unbekannt
Wied,7143310.0,Stand unbekannt
Willmenrod,7143312.0,Stand unbekannt
Winkelbach,7143313.0,Stand unbekannt
Winnen,7143314.0,Stand unbekannt
Zehnhausen bei Wallmerod,7143316.0,Stand unbekannt
Elbingen,7143501.0,Stand unbekannt
Mähren,7143502.0,Stand unbekannt
Bausendorf,7231004.0,Stand unbekannt
Bengel,7231005.0,Stand unbekannt
Berglicht,7231006.0,Stand unbekannt
Burg (Mosel),7231014.0,Stand unbekannt
Burtscheid,7231017.0,Stand unbekannt
Deuselbach,7231018.0,Stand unbekannt
Dhronecken,7231019.0,Stand unbekannt
Diefenbach,7231020.0,Stand unbekannt
Enkirch,7231029.0,Stand unbekannt
Etgert,7231032.0,Stand unbekannt
Flußbach,7231033.0,Stand unbekannt
Gielert,7231035.0,Stand unbekannt
Gräfendhron,7231042.0,Stand unbekannt
Hilscheid,7231054.0,Stand unbekannt
Hontheim,7231057.0,Stand unbekannt
Horath,7231058.0,Stand unbekannt
Immert,7231064.0,Stand unbekannt
Kinderbeuern,7231067.0,Stand unbekannt
Kinheim,7231068.0,Stand unbekannt
Kröv,7231072.0,Stand unbekannt
Lückenburg,7231078.0,Stand unbekannt
Malborn,7231079.0,Stand unbekannt
Merschbach,7231083.0,Stand unbekannt
Neunkirchen (Hunsrück),7231093.0,Stand unbekannt
Reil,7231110.0,Stand unbekannt
Rorodt,7231112.0,Stand unbekannt
Schönberg (bei Thalfang),7231115.0,Stand unbekannt
Starkenburg,7231120.0,Stand unbekannt
Talling,7231122.0,Stand unbekannt
Thalfang,7231123.0,Stand unbekannt
Traben-Trarbach,7231124.0,Stand unbekannt
Willwerscheid,7231132.0,Stand unbekannt
Breit,7231202.0,Stand unbekannt
Büdlich,7231203.0,Stand unbekannt
Heidenburg,7231204.0,Stand unbekannt
Lötzbeuren,7231206.0,Stand unbekannt
Irmenach,7231501.0,Stand unbekannt
Affler,7232001.0,Stand unbekannt
Alsdorf (Eifel),7232002.0,Stand unbekannt
Altscheid,7232003.0,Stand unbekannt
Ammeldingen an der Our,7232004.0,Stand unbekannt
Ammeldingen bei Neuerburg,7232005.0,Stand unbekannt
Auw an der Kyll,7232006.0,Stand unbekannt
Bauler (Eifelkreis Bitburg-Prüm),7232008.0,Stand unbekannt
Beilingen,7232010.0,Stand unbekannt
Berkoth,7232011.0,Stand unbekannt
Berscheid,7232012.0,Stand unbekannt
Biesdorf,7232016.0,Stand unbekannt
Bollendorf,7232019.0,Stand unbekannt
Burg,7232022.0,Stand unbekannt
Dauwelshausen,7232025.0,Stand unbekannt
Echternacherbrück,7232028.0,Stand unbekannt
Emmelbaum,7232031.0,Stand unbekannt
Ernzen,7232033.0,Stand unbekannt
Ferschweiler,7232037.0,Stand unbekannt
Fischbach-Oberraden,7232038.0,Stand unbekannt
Geichlingen,7232040.0,Stand unbekannt
Gemünd,7232041.0,Stand unbekannt
Gentingen,7232042.0,Stand unbekannt
Heilbach,7232047.0,Stand unbekannt
Herbstmühle,7232049.0,Stand unbekannt
Herforst,7232050.0,Stand unbekannt
Holsthum,7232053.0,Stand unbekannt
Hommerdingen,7232054.0,Stand unbekannt
Hosten,7232055.0,Stand unbekannt
Hütten (Eifel),7232056.0,Stand unbekannt
Hüttingen bei Lahr,7232059.0,Stand unbekannt
Irrel,7232063.0,Stand unbekannt
Karlshausen,7232064.0,Stand unbekannt
Kaschenbach,7232065.0,Stand unbekannt
Keppeshausen,7232066.0,Stand unbekannt
Körperich,7232067.0,Stand unbekannt
Koxhausen,7232068.0,Stand unbekannt
Kruchten,7232069.0,Stand unbekannt
Lahr (Eifel),7232072.0,Stand unbekannt
Leimbach (bei Neuerburg),7232073.0,Stand unbekannt
Menningen,7232078.0,Stand unbekannt
Mettendorf,7232080.0,Stand unbekannt
Minden (Sauer),7232082.0,Stand unbekannt
Muxerath,7232084.0,Stand unbekannt
Nasingen,7232085.0,Stand unbekannt
Neuerburg,7232088.0,Stand unbekannt
Niedergeckler,7232089.0,Stand unbekannt
Niederraden,7232090.0,Stand unbekannt
Niederweis,7232093.0,Stand unbekannt
Niehl,7232094.0,Stand unbekannt
Nusbaum,7232095.0,Stand unbekannt
Obergeckler,7232096.0,Stand unbekannt
Utscheid,7232102.0,Stand unbekannt
Peffingen,7232103.0,Stand unbekannt
Philippsheim,7232104.0,Stand unbekannt
Plascheid,7232106.0,Stand unbekannt
Preist,7232107.0,Stand unbekannt
Prümzurlay,7232108.0,Stand unbekannt
Rodershausen,7232110.0,Stand unbekannt
Roth an der Our,7232112.0,Stand unbekannt
Schankweiler,7232114.0,Stand unbekannt
Scheitenkorb,7232116.0,Stand unbekannt
Scheuern,7232117.0,Stand unbekannt
Sevenig bei Neuerburg,7232121.0,Stand unbekannt
Sinspelt,7232122.0,Stand unbekannt
Speicher,7232123.0,Stand unbekannt
Übereisenbach,7232127.0,Stand unbekannt
Uppershausen,7232128.0,Stand unbekannt
Waldhof-Falkenstein,7232130.0,Stand unbekannt
Wallendorf,7232131.0,Stand unbekannt
Weidingen,7232132.0,Stand unbekannt
Zweifelscheid,7232138.0,Stand unbekannt
Eisenach (Eifel),7232218.0,Stand unbekannt
Gilzem,7232225.0,Stand unbekannt
Orenhofen,7232289.0,Stand unbekannt
Spangdahlem,7232311.0,Stand unbekannt
Beinhausen,7233003.0,Stand unbekannt
Boxberg (Rheinland-Pfalz),7233010.0,Stand unbekannt
Hörschhausen,7233032.0,Stand unbekannt
Katzwinkel,7233037.0,Stand unbekannt
Neichen,7233048.0,Stand unbekannt
Arbach,7233201.0,Stand unbekannt
Bereborn,7233202.0,Stand unbekannt
Berenbach,7233203.0,Stand unbekannt
Bodenbach,7233205.0,Stand unbekannt
Bongard,7233206.0,Stand unbekannt
Borler,7233207.0,Stand unbekannt
Brücktal,7233208.0,Stand unbekannt
Drees,7233210.0,Stand unbekannt
Gelenberg,7233212.0,Stand unbekannt
Gunderath,7233213.0,Stand unbekannt
Höchstberg,7233215.0,Stand unbekannt
Horperath,7233216.0,Stand unbekannt
Kaperich,7233217.0,Stand unbekannt
Kelberg,7233218.0,Stand unbekannt
Kirsbach,7233220.0,Stand unbekannt
Kötterichen,7233221.0,Stand unbekannt
Kolverath,7233222.0,Stand unbekannt
Lirstal,7233224.0,Stand unbekannt
Mannebach (Eifel),7233225.0,Stand unbekannt
Mosbruch,7233226.0,Stand unbekannt
Nitz,7233228.0,Stand unbekannt
Oberelz,7233230.0,Stand unbekannt
Reimerath,7233233.0,Stand unbekannt
Retterath,7233234.0,Stand unbekannt
Sassen,7233236.0,Stand unbekannt
Uersfeld,7233242.0,Stand unbekannt
Ueß,7233243.0,Stand unbekannt
Welcherath,7233244.0,Stand unbekannt
Aach (bei Trier),7235001.0,Stand unbekannt
Franzenheim,7235027.0,Stand unbekannt
Hockweiler,7235048.0,Stand unbekannt
